               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.10779,             0.15666,            0.038262,           0.0043864,             0.24904,           0.0040921,          0.00098082,             0.10519,             0.10878,            0.037719,              0.0015,              0.0015,              0.0865
                   1,             0.10628,              0.1585,            0.037794,           0.0034007,             0.26827,           0.0039173,          0.00088069,             0.10388,             0.11113,            0.037639,           0.0030693,           0.0030693,            0.072069
                   2,             0.10227,             0.16268,            0.036969,            0.018444,             0.25713,            0.023069,           0.0042775,             0.10058,             0.11697,            0.037261,           0.0046069,           0.0046069,            0.057607
                   3,            0.098514,             0.18728,            0.035872,            0.019159,             0.29417,            0.030053,           0.0065617,            0.095174,             0.12583,            0.036554,           0.0061129,           0.0061129,            0.043113
                   4,            0.095142,             0.18228,            0.034526,            0.011476,             0.30688,            0.030834,           0.0067169,            0.089829,             0.13198,            0.035303,           0.0075872,           0.0075872,            0.028587
                   5,            0.090902,             0.18258,            0.032282,            0.011877,             0.31258,            0.038436,           0.0093483,            0.083954,             0.13489,            0.032818,           0.0090297,           0.0090297,             0.01403
                   6,            0.088625,             0.19845,            0.029061,             0.02273,             0.41758,              0.0458,            0.010658,            0.077383,             0.13493,            0.029049,            0.009406,            0.009406,            0.009406
                   7,            0.085952,             0.17599,            0.025211,          0.00069595,            0.023148,          0.00058046,          0.00011177,             0.14082,             0.19507,             0.35352,            0.009406,            0.009406,            0.009406
                   8,            0.083071,             0.17513,            0.021204,          0.00065692,             0.17593,          0.00057159,          8.4844e-05,             0.14239,              1.2273,             0.58984,            0.009307,            0.009307,            0.009307
                   9,            0.079213,             0.17104,            0.017641,             0.66871,            0.013889,           0.0013474,          0.00025086,             0.11974,             0.17701,              0.1851,            0.009208,            0.009208,            0.009208
                  10,            0.076105,             0.17828,            0.013871,           0.0061971,             0.20202,           0.0046653,          0.00096469,             0.11115,              0.1796,             0.13918,            0.009109,            0.009109,            0.009109
                  11,            0.073147,             0.16914,            0.011821,             0.74797,             0.10648,            0.061586,            0.012949,            0.096712,              0.1403,            0.098178,             0.00901,             0.00901,             0.00901
                  12,            0.070031,              0.1662,           0.0096862,             0.78348,             0.19444,             0.17644,            0.034589,            0.080562,             0.13236,            0.029292,            0.008911,            0.008911,            0.008911
                  13,              0.0685,             0.16185,           0.0083719,             0.82351,                0.25,             0.23218,            0.061054,            0.072494,             0.13134,            0.017253,            0.008812,            0.008812,            0.008812
                  14,            0.067045,             0.15547,           0.0080619,             0.58046,             0.41743,             0.34023,             0.13612,            0.066943,             0.13079,            0.012456,            0.008713,            0.008713,            0.008713
                  15,            0.066858,             0.17109,           0.0075038,             0.43113,             0.32242,             0.10812,            0.023378,            0.082949,             0.13149,            0.016518,            0.008614,            0.008614,            0.008614
                  16,            0.063999,             0.16133,           0.0066001,             0.52755,             0.45162,             0.31037,             0.11799,            0.063169,             0.12847,            0.011193,            0.008515,            0.008515,            0.008515
                  17,            0.065399,             0.15347,           0.0066687,             0.69536,             0.49581,             0.41092,             0.13714,            0.060549,              0.1184,           0.0074286,            0.008416,            0.008416,            0.008416
                  18,            0.062263,             0.15319,           0.0061357,             0.64518,             0.39409,             0.43554,             0.12931,            0.060705,             0.16179,           0.0090998,            0.008317,            0.008317,            0.008317
                  19,            0.061895,             0.15501,           0.0062093,              0.6495,             0.43493,             0.47198,             0.19605,            0.056606,             0.13616,           0.0079801,            0.008218,            0.008218,            0.008218
                  20,            0.059479,             0.14535,           0.0060882,             0.76697,             0.50571,             0.53134,             0.18465,            0.059039,             0.10821,           0.0060539,            0.008119,            0.008119,            0.008119
                  21,            0.060824,             0.15515,            0.005304,             0.50291,              0.6397,             0.57195,             0.22422,            0.056091,             0.10748,           0.0052906,             0.00802,             0.00802,             0.00802
                  22,            0.061023,             0.15131,           0.0051631,             0.58602,             0.65516,             0.59405,             0.24107,            0.054037,             0.10257,           0.0047218,            0.007921,            0.007921,            0.007921
                  23,            0.056893,             0.15113,           0.0049212,             0.54301,             0.73909,              0.7085,             0.27033,            0.044411,             0.10636,           0.0038633,            0.007822,            0.007822,            0.007822
                  24,            0.055068,             0.14726,            0.004498,             0.64536,             0.75499,               0.752,             0.35863,             0.04258,              0.1002,           0.0035585,            0.007723,            0.007723,            0.007723
                  25,            0.055168,             0.14516,           0.0042836,             0.59158,             0.76502,             0.74287,              0.3309,            0.044366,              0.1053,           0.0032618,            0.007624,            0.007624,            0.007624
                  26,            0.052266,             0.14448,            0.003911,             0.60915,             0.61439,             0.63695,             0.30304,            0.047335,             0.13657,           0.0050266,            0.007525,            0.007525,            0.007525
                  27,              0.0537,             0.14923,           0.0039276,             0.73343,             0.75873,             0.78079,             0.39157,            0.039729,            0.098773,           0.0028339,            0.007426,            0.007426,            0.007426
                  28,            0.053857,              0.1472,           0.0034513,             0.66772,              0.7509,              0.7746,             0.36048,            0.039179,              0.1065,           0.0031997,            0.007327,            0.007327,            0.007327
                  29,            0.052354,              0.1435,           0.0037095,             0.73706,             0.81953,             0.82645,             0.39696,            0.039335,            0.096423,           0.0023119,            0.007228,            0.007228,            0.007228
                  30,            0.049384,             0.15053,           0.0031441,             0.70535,             0.84544,             0.84363,             0.44871,            0.039056,            0.096412,           0.0021802,            0.007129,            0.007129,            0.007129
                  31,            0.049604,             0.14575,           0.0033315,             0.65022,             0.82973,             0.82498,             0.45448,            0.039312,              0.0966,           0.0023235,             0.00703,             0.00703,             0.00703
                  32,            0.050572,             0.13696,           0.0030642,             0.80982,             0.78295,             0.85134,             0.46988,            0.039337,            0.093694,           0.0020621,            0.006931,            0.006931,            0.006931
                  33,            0.049566,             0.14681,           0.0031511,             0.66193,             0.85101,             0.83114,             0.38324,            0.037861,            0.096969,           0.0019528,            0.006832,            0.006832,            0.006832
                  34,            0.046365,             0.13996,           0.0029683,             0.60413,              0.8372,             0.75318,             0.34685,            0.039886,             0.10036,           0.0025503,            0.006733,            0.006733,            0.006733
                  35,            0.046912,             0.14917,           0.0027764,             0.71146,             0.88021,             0.84219,             0.44232,            0.036174,            0.097255,           0.0019643,            0.006634,            0.006634,            0.006634
                  36,            0.045941,             0.14141,           0.0028106,             0.78305,             0.86528,             0.86005,             0.43447,            0.038066,            0.093848,           0.0018077,            0.006535,            0.006535,            0.006535
                  37,            0.047866,             0.14374,           0.0026583,             0.81664,             0.84788,             0.87608,             0.50234,            0.037668,            0.093483,           0.0018442,            0.006436,            0.006436,            0.006436
                  38,            0.046387,              0.1398,           0.0025777,             0.75573,             0.84132,             0.85979,             0.49115,             0.03974,             0.09252,           0.0018055,            0.006337,            0.006337,            0.006337
                  39,            0.047424,             0.13908,           0.0026476,             0.76901,             0.87226,             0.86491,             0.45914,            0.035211,            0.094361,           0.0016881,            0.006238,            0.006238,            0.006238
                  40,            0.047049,             0.13985,           0.0024976,             0.74138,             0.85625,             0.82447,             0.46679,            0.038078,            0.092058,            0.001783,            0.006139,            0.006139,            0.006139
                  41,            0.045397,             0.13988,           0.0024578,             0.77827,               0.852,             0.83514,             0.40422,            0.043456,            0.091633,           0.0017539,             0.00604,             0.00604,             0.00604
                  42,            0.046592,             0.13873,           0.0025149,             0.77106,             0.91263,             0.87575,             0.50426,            0.034673,            0.090239,           0.0016592,            0.005941,            0.005941,            0.005941
                  43,            0.045027,             0.14133,           0.0024035,             0.81268,              0.8484,             0.88124,             0.49497,            0.035203,            0.091463,            0.001697,            0.005842,            0.005842,            0.005842
                  44,            0.042264,             0.13705,            0.002265,             0.80581,             0.88998,             0.87197,             0.52368,            0.033872,            0.093527,           0.0016253,            0.005743,            0.005743,            0.005743
                  45,            0.044467,             0.14205,           0.0021686,             0.78832,             0.89175,             0.87158,             0.45688,            0.036861,            0.096824,           0.0015231,            0.005644,            0.005644,            0.005644
                  46,            0.043476,             0.14493,           0.0023352,             0.69782,             0.87876,             0.83939,              0.4557,            0.038548,             0.10606,           0.0017915,            0.005545,            0.005545,            0.005545
                  47,            0.043123,             0.14017,           0.0021322,              0.7777,             0.90246,             0.86764,             0.51761,            0.032959,            0.092446,           0.0014545,            0.005446,            0.005446,            0.005446
                  48,             0.04202,             0.13926,           0.0022183,              0.8158,             0.89348,             0.87971,             0.51166,            0.032873,            0.094149,           0.0013725,            0.005347,            0.005347,            0.005347
                  49,             0.04297,             0.13526,           0.0020593,             0.81501,             0.90176,             0.89384,             0.50695,            0.033873,            0.091561,            0.001393,            0.005248,            0.005248,            0.005248
                  50,            0.043067,             0.14136,           0.0022413,              0.8197,             0.88737,             0.88763,              0.5213,            0.034651,            0.091293,           0.0013527,            0.005149,            0.005149,            0.005149
                  51,            0.044333,             0.14419,           0.0020775,              0.8211,             0.91793,             0.90056,             0.54896,            0.032417,            0.093614,           0.0012787,             0.00505,             0.00505,             0.00505
                  52,            0.040388,             0.13584,           0.0021397,             0.81985,             0.88573,             0.89989,             0.53434,            0.032105,            0.091499,           0.0013036,            0.004951,            0.004951,            0.004951
                  53,            0.041566,             0.13479,           0.0020844,             0.82237,             0.90754,              0.8948,              0.5417,            0.031936,            0.089729,           0.0012504,            0.004852,            0.004852,            0.004852
                  54,            0.041386,             0.13818,           0.0020522,             0.82885,               0.877,             0.88323,               0.526,            0.031074,            0.088328,            0.001242,            0.004753,            0.004753,            0.004753
                  55,            0.043472,             0.13479,           0.0019463,             0.81229,              0.8978,             0.87854,             0.51671,             0.03359,            0.094685,           0.0015398,            0.004654,            0.004654,            0.004654
                  56,            0.040199,             0.13652,           0.0019013,             0.84958,             0.87696,             0.89678,             0.52696,            0.031861,            0.089003,           0.0012763,            0.004555,            0.004555,            0.004555
                  57,            0.042496,             0.13945,           0.0020764,             0.84068,             0.87569,             0.89821,             0.53054,             0.03073,            0.087905,           0.0012159,            0.004456,            0.004456,            0.004456
                  58,            0.040144,             0.13951,           0.0018597,             0.85508,             0.88085,             0.88838,             0.54405,            0.030938,            0.088296,           0.0011511,            0.004357,            0.004357,            0.004357
                  59,            0.039912,             0.13874,           0.0018393,             0.81305,             0.90842,             0.89474,             0.52383,            0.032166,            0.095395,           0.0014821,            0.004258,            0.004258,            0.004258
                  60,            0.040735,             0.13585,           0.0018609,             0.82423,             0.90526,             0.89518,              0.5308,            0.032548,            0.090152,           0.0012458,            0.004159,            0.004159,            0.004159
                  61,            0.040674,             0.13169,           0.0017629,             0.83217,             0.88116,             0.89623,             0.52108,            0.034343,            0.090433,           0.0011694,             0.00406,             0.00406,             0.00406
                  62,            0.042845,             0.14053,           0.0016414,             0.80492,             0.84168,              0.8654,             0.49234,            0.036317,             0.11363,           0.0022661,            0.003961,            0.003961,            0.003961
                  63,            0.041107,             0.13543,           0.0017443,             0.80462,             0.90703,             0.89486,             0.52392,            0.032126,            0.093953,           0.0014054,            0.003862,            0.003862,            0.003862
                  64,            0.039931,             0.13905,           0.0017931,             0.83842,             0.89974,             0.89878,             0.54267,            0.029939,            0.087268,           0.0010881,            0.003763,            0.003763,            0.003763
                  65,            0.038463,             0.13425,           0.0016704,             0.85527,             0.88274,             0.90902,             0.55089,            0.030481,            0.086743,           0.0010594,            0.003664,            0.003664,            0.003664
                  66,            0.037959,             0.13174,           0.0016966,             0.81401,             0.92934,             0.90974,             0.53219,            0.029536,            0.086424,           0.0011093,            0.003565,            0.003565,            0.003565
                  67,            0.039465,             0.13899,           0.0017194,             0.82148,             0.92403,             0.90494,             0.55403,            0.029416,            0.086287,           0.0011499,            0.003466,            0.003466,            0.003466
                  68,            0.038668,             0.12976,           0.0016928,             0.86077,              0.8847,              0.9109,             0.56226,            0.032224,            0.088276,           0.0010524,            0.003367,            0.003367,            0.003367
                  69,            0.038279,             0.13057,           0.0016172,             0.84212,             0.89905,             0.90329,             0.55144,            0.029503,            0.087151,          0.00099746,            0.003268,            0.003268,            0.003268
                  70,            0.038264,             0.13201,           0.0016006,             0.83369,             0.90872,             0.90278,             0.55658,            0.029278,            0.090455,          0.00092761,            0.003169,            0.003169,            0.003169
                  71,            0.038445,             0.13597,            0.001523,             0.84968,             0.89251,             0.90928,             0.56059,            0.029669,               0.089,           0.0009513,             0.00307,             0.00307,             0.00307
                  72,            0.038423,             0.13164,           0.0015671,             0.84935,             0.89093,             0.90374,             0.56249,            0.029327,            0.087202,          0.00093009,            0.002971,            0.002971,            0.002971
                  73,            0.037588,             0.13061,            0.001644,              0.8372,             0.90847,             0.89982,             0.54817,            0.029702,            0.089233,             0.00108,            0.002872,            0.002872,            0.002872
                  74,            0.037542,             0.12761,           0.0014884,              0.8291,             0.92127,             0.89795,             0.53698,            0.029476,            0.085785,          0.00099002,            0.002773,            0.002773,            0.002773
                  75,            0.037569,             0.13272,           0.0015928,             0.82479,             0.90296,             0.90374,             0.56591,            0.030144,            0.089773,           0.0010424,            0.002674,            0.002674,            0.002674
                  76,            0.037717,             0.13724,           0.0015539,             0.84698,             0.89858,              0.9044,              0.5579,            0.028948,            0.086529,          0.00086906,            0.002575,            0.002575,            0.002575
                  77,            0.038009,             0.13247,           0.0014772,             0.82361,             0.90468,             0.89121,             0.54066,            0.031561,            0.088434,           0.0011284,            0.002476,            0.002476,            0.002476
                  78,            0.037446,             0.12984,           0.0015236,             0.86069,             0.88644,             0.90571,             0.57503,             0.02887,            0.085036,          0.00090273,            0.002377,            0.002377,            0.002377
                  79,            0.037252,             0.13288,           0.0014757,             0.85186,             0.87678,             0.90598,             0.55786,            0.029425,            0.087009,           0.0010133,            0.002278,            0.002278,            0.002278
                  80,            0.037452,             0.13165,            0.001514,             0.86059,               0.885,             0.90114,             0.54732,            0.028805,            0.085729,          0.00085753,            0.002179,            0.002179,            0.002179
                  81,            0.037516,             0.12874,           0.0014538,             0.86638,             0.87391,             0.89691,             0.55082,            0.030383,            0.086567,           0.0008527,             0.00208,             0.00208,             0.00208
                  82,             0.03761,             0.13479,           0.0014556,             0.85662,             0.90404,             0.90335,              0.5756,            0.028544,            0.087322,           0.0008303,            0.001981,            0.001981,            0.001981
                  83,            0.037697,             0.13349,           0.0015797,              0.8408,             0.89061,             0.90689,             0.55875,            0.029561,            0.086741,           0.0010177,            0.001882,            0.001882,            0.001882
                  84,            0.037635,             0.12771,           0.0014466,             0.86077,             0.88578,             0.90404,             0.55672,            0.029861,            0.085804,          0.00085645,            0.001783,            0.001783,            0.001783
                  85,            0.036148,             0.12881,           0.0014889,             0.85191,             0.90474,             0.91083,             0.58585,            0.029127,            0.086326,          0.00092232,            0.001684,            0.001684,            0.001684
                  86,            0.037187,             0.13189,           0.0015354,             0.82753,             0.91187,             0.90676,              0.5751,            0.028964,             0.08603,          0.00097044,            0.001585,            0.001585,            0.001585
                  87,            0.036968,             0.12948,            0.001431,             0.86126,             0.89694,             0.91121,               0.578,            0.028873,            0.084863,           0.0008401,            0.001486,            0.001486,            0.001486
                  88,             0.03618,             0.12546,           0.0015212,             0.86334,             0.88472,             0.91065,             0.57566,            0.028444,            0.084681,          0.00086844,            0.001387,            0.001387,            0.001387
                  89,            0.035882,             0.12635,            0.001316,             0.82777,             0.91225,             0.90582,             0.56729,            0.029523,            0.087527,           0.0010245,            0.001288,            0.001288,            0.001288
                  90,            0.037125,              0.1319,           0.0012941,             0.87173,             0.89328,             0.91479,             0.58575,            0.028266,            0.085278,          0.00083226,            0.001189,            0.001189,            0.001189
                  91,             0.03658,             0.12941,           0.0013855,             0.85762,             0.90214,             0.90945,              0.5776,            0.028085,            0.084937,          0.00082374,             0.00109,             0.00109,             0.00109
                  92,            0.035402,             0.12377,           0.0013136,             0.86162,             0.89084,             0.91893,             0.59407,            0.028031,            0.084996,          0.00086114,            0.000991,            0.000991,            0.000991
                  93,             0.03646,             0.12854,           0.0014725,             0.86021,             0.89789,             0.91445,             0.58777,            0.027829,            0.084776,          0.00082496,            0.000892,            0.000892,            0.000892
                  94,            0.037036,             0.13466,            0.001319,             0.86093,             0.89866,             0.91442,             0.59167,            0.027865,            0.084226,          0.00082932,            0.000793,            0.000793,            0.000793
                  95,            0.036693,             0.12753,           0.0014383,             0.86989,             0.88627,             0.91628,             0.58877,            0.027921,            0.084013,           0.0008152,            0.000694,            0.000694,            0.000694
                  96,            0.036922,             0.13267,           0.0013843,             0.85222,             0.90101,             0.91747,              0.5989,            0.027803,            0.084273,           0.0007985,            0.000595,            0.000595,            0.000595
                  97,            0.036048,             0.12496,           0.0014097,             0.84789,             0.91326,             0.91432,             0.58906,            0.027794,            0.084002,          0.00080388,            0.000496,            0.000496,            0.000496
                  98,            0.036586,             0.12946,           0.0013767,              0.8469,             0.91304,             0.91212,              0.5824,            0.028064,            0.084742,          0.00087052,            0.000397,            0.000397,            0.000397
                  99,            0.035871,             0.12971,           0.0013122,             0.86285,              0.9029,               0.913,             0.58186,            0.027728,            0.083697,          0.00081447,            0.000298,            0.000298,            0.000298
